Game Name;Batch Size;EAI name;EAI level;P1;Level;P2;Level;P3;Level;P4;Level;
Ludo;1000;RE;100;HC;100;HC;100;HC;100;HC;100;
LEADER_SWITCHES;CREDIBILITY;JUSTICE;LEADER_TIME;THRILL;LEAD;FREEDOM;RANDOMNESS
10;1000;10;10;10;3;1;0;
Poèet kol;Zmìna vedení;Napínavost;Náskok;Spravedlnost;Uvìøitelnost;Svoboda;Náhodnost;Vedení;P1W;P2W;P3W;P4W;P5W;P1MinC;P2MinC;P3MinC;P4MinC;P5MinC;P1MaxC;P2MaxC;P3MaxC;P4MaxC;P5MaxC;P1AvgC;P2AvgC;P3AvgC;P4AvgC;P5AvgC;P1Turn;P2Turn;P3Turn;P4Turn;P5Turn;P2Justice;P3Justice;P4Justice;P5Justice;P2LT;P3LT;P4LT;P5LT
351;48;7,310541;4;0,026264;21,739;1,78063;1,34857;72,0017;0;0;0;1;0;6;1;1;1;1;6;4;4;4;4;6;1,28866;1,85714;2,68675;1,40698;351;97;84;83;86;-21;-4;4;-11;1;201;72;76;
299;47;6,692307;11;0,0381135;16,0727;1,89298;1,32215;39,7649;0;0;0;1;0;6;1;1;1;1;6;4;4;4;4;6;1,58228;1,58824;2,13235;2,43939;299;79;85;68;66;-13;-11;11;-19;81;110;99;8;
297;15;27,424242;29;0,0952409;19,0828;1,68013;1,37162;98,618;0;0;0;0;1;6;1;1;1;1;6;4;4;4;4;6;1,60526;1,63768;1,40476;2,1791;297;76;69;84;67;-29;-29;-45;29;33;10;9;244;
329;19;7,948328;15;0,0541695;20,4151;2,05167;1,22027;55,5293;0;0;1;0;0;6;1;1;1;1;6;4;4;4;4;6;2,02469;2,21111;1,94048;2,0411;329;81;90;84;73;-15;15;-28;-29;146;128;21;33;
332;46;7,358434;3;0,021094;25,4884;1,74699;1,17674;10,0592;0;0;0;0;1;6;1;1;1;1;6;4;4;4;4;6;1,57692;1,41;2,15385;1,97333;332;78;100;78;75;-3;-11;-15;3;73;83;99;76;
329;43;6,914894;13;0,0426012;17,8181;1,71733;1,09604;66,1967;0;1;0;0;0;6;1;1;1;1;6;4;4;4;4;6;1,41975;1,78313;1,80247;1,87952;329;81;83;81;83;13;-20;-13;-22;154;142;12;20;
401;25;9,802993;7;0,0207289;32,5583;1,64339;1,07;125,942;0;1;0;0;0;6;1;1;1;1;6;4;4;4;4;6;1,64762;1,78641;1,52475;1,62637;401;105;103;101;91;7;-15;-7;-11;314;0;67;19;
411;37;14,250608;11;0,0468323;21,1163;1,53528;1,17256;75,7644;0;0;1;0;0;6;1;1;1;1;6;4;4;4;3;6;1,3;1,83168;1,58824;1,45361;411;110;101;102;97;-43;11;-11;-14;9;122;214;65;
415;48;6,351807;2;0,0388356;34,4002;1,72771;1,29589;61,0102;0;0;1;0;0;6;1;1;1;1;6;4;4;4;4;6;1,69643;1,69608;1,96;1,58;415;112;102;100;100;-2;2;-39;-17;158;167;66;23;
265;23;10,328301;13;0,0611364;31,4192;1,92453;1,3428;56,9868;0;0;1;0;0;6;1;1;1;1;6;4;4;4;4;6;1,90323;1,53846;2,19048;2,19672;265;62;78;63;61;-13;13;-16;-32;70;157;28;9;
